EMPLOYEE_ID,EMPLOYEE_FIRSTNAME,EMPLOYEE_MIDDLENAME,EMPLOYEE_LASTNAME,EMPLOYEE_NAME,EMPLOYEE_BIRTHDATE,EMPLOYEE_PERSONALNUMBER,EMPLOYEE_GENDER,EMPLOYEE_NATIONALITY,EMPLOYEE_MARTIALSTATUS,EMPLOYEE_IBAN
1,Thane,Allen,Mutter,Thane Allen Mutter,1985-05-10,123456789,1,1,1,DE12345678901234567890
2,Gennie,Marie,Drains,Gennie Marie Drains,1990-03-22,987654321,2,2,2,FR763000400003123456789
3,Dee dee,Lynn,Varran,Dee dee Lynn Varran,1992-11-15,567891234,2,1,1,GB29NWBK60161331926819
4,Hobie,Edward,Hengoed,Hobie Edward Hengoed,1988-09-09,345678912,1,3,2,IT60X0542811101000000123456
5,Huberto,James,Yegorov,Huberto James Yegorov,1995-01-05,789123456,1,1,1,ES7921000813610123456789
6,Sheffy,Anne,Newham,Sheffy Anne Newham,1991-07-19,123987456,2,2,2,NL91ABNA0417164300
7,Ragnar,Olaf,Conradie,Ragnar Olaf Conradie,1983-12-25,456789123,1,3,1,BE68539007547034
8,Devan,Michael,Balasini,Devan Michael Balasini,1989-06-17,321654987,1,2,1,CH5604835012345678009
9,Adam,George,Flower,Adam George Flower,1994-02-14,654321987,1,1,2,DK5000400440116243
10,Alford,John,Kuhn,Alford John Kuhn,1987-10-03,789456123,1,3,1,SE4550000000058398257466
